Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
1.1.2012;51006-0000;;Bauwerk oder Anlage für Sport, Freizeit und Erholung, allgemein;Flaeche;aus ALKIS
1.1.2012;51009-0000;;Bauwerk oder Einrichtung, sonstige;Flaeche;aus ALKIS
16.1.2014;5005.0000;3.2.11;Bauwerksbezeichnung;Text;für Vermessung
16.1.2014;5005.0000;;Bauwerksbezeichnung;Punkt;für Vermessung
1.1.2012;51011-0000;;Bauwerkspunkt, besonderer;Punkt;aus ALKIS
16.1.2014;#999.7022;;Befestigungswechsel;Linie;für Vermessung
1.1.2012;7855.7003;;Begrenzung Gewässerdurchlass über/unter 1mm Kartenbreite;Linie;für Vermessung
16.1.2014;7855.7004;;Begrenzung Wasser-Entsorg.-Durchlass über/unter 1mm Kartenbreite;Linie;für Vermessung
1.1.2012;02320-2507;;Begrenzungslinie Arkade, auskragendes od. zurückspringendes Geschoss;Linie;aus ALKIS
16.1.2014;#23B.7004;;Begrenzungslinie Brücke, Steg > 1mm Kartenbreite;Linie;für Vermessung
16.1.2014;5297.7001;;Begrenzungslinie des befahrbaren Raumes (überdeckt);Linie;für Vermessung
16.1.2014;1047.0000;2.4.4.4;Begrenzungslinie einer Arkade;Linie;für Vermessung
16.1.2014;1046.0000;2.4.4.6;Begrenzungslinie eines aufgeständerten Gebäudes;Linie;für Vermessung
1.1.2012;31001-1400;;Begrenzungslinie eines aufgeständerten Gebäudes;Linie;aus ALKIS
1.1.2012;02320-2511;;Begrenzungslinie eines aufgeständerten Hochhaus;Linie;aus ALKIS
16.1.2014;1043.0000;2.4.4.5;Begrenzungslinie eines auskragenden od. zurückspringenden Geschosses;Linie;für Vermessung
1.1.2012;31003-1000;;Begrenzungslinie eines Gebäude, offen;Linie;aus ALKIS
16.1.2014;1014.0000;2.4.1.4;Begrenzungslinie eines Gebäudes, offen;Linie;für Vermessung
16.1.2014;1011.0000;2.4.1.1;Begrenzungslinie eines Hochhaus;Linie;für Vermessung
1.1.2012;02320-2509;;Begrenzungslinie eines Hochhaus;Linie;aus ALKIS
16.1.2014;1013.0000;2.4.1.3;Begrenzungslinie eines nicht öffentlichen Gebäudes;Linie;für Vermessung
16.1.2014;1012.0000;2.4.1.2;Begrenzungslinie eines öffentlichen Gebäudes;Linie;für Vermessung
16.1.2014;1016.0000;2.4.1.5;Begrenzungslinie eines unterirdischen Gebäudes;Linie;für Vermessung
16.1.2014;1017.0000;2.4.1.6;Begrenzungslinie eines zerstörten Gebäudes;Linie;für Vermessung
1.1.2012;5211.7001;;Begrenzungslinie unbefestigter Weg;Linie;für Vermessung
1.1.2012;0251.0000;2.2.6;Begrenzungslinie, topographische ~;Linie;für Vermessung
1.1.2012;0252.0000;2.2.6.1;Begrenzungslinie, topographische ~, überdeckt;Linie;für Vermessung
16.1.2014;#223.7001;;Begrenzungslinie, unsicher;Linie;für Vermessung
1.1.2012;3591.0000;2.5.5.12;Benzin-, Ölabscheider;Punkt;für Vermessung
1.1.2012;0126.0000;2.1.3;Beobachtungspfeiler (der Straßenbauverwaltung);Punkt;für Vermessung
1.1.2012;0126.0000;2.1.3;Beobachtungspfeiler (der Straßenbauverwaltung);Text;für Vermessung
1.1.2012;02310-3405;;Bergbaubetrieb, Bergwerk (in Betrieb) (Nutzungssymbol);Punkt;aus ALKIS
1.1.2012;3196.0000;2.7.3.8;Bergbauschacht (eckig);Punkt;für Vermessung
1.1.2012;31001-2171;;Bergwerk;Flaeche;aus ALKIS
16.1.2014;1771.0000;2.7.3.5;Bergwerk in Betrieb;Punkt;für Vermessung
16.1.2014;1772.0000;2.7.3.7;Bergwerk, außer Betrieb;Punkt;für Vermessung
16.1.2014;1773.0000;2.7.3.6;Bergwerk, vorübergehend stillgelegt;Punkt;für Vermessung
16.1.2014;9104-7036;;Beschriftung Straßenklassifizierung;Text;aus ALKIS
1.1.2012;9104-7035;;Beschriftung Topographie;Text;aus ALKIS
1.1.2012;9104-7040;;Beschriftung zu Gewässern;Text;aus ALKIS
1.1.2012;9245-7040;;Beschriftung zu Gewässern;Text;aus ALKIS
1.1.2012;9142-7045;;Beschriftung zu öfftl.-rechtl. Festsetzungen;Text;aus ALKIS
1.1.2012;9145-7040;;Beschriftung zu öfftl.-rechtl. Festsetzungen (Wasser-, Heilquellenschutzgebiete);Text;aus ALKIS
1.1.2012;9072-7045;;Beschriftung zu öfftl.-rechtlichen Festsetzungen;Text;aus ALKIS
1.1.2012;9141-7079;;Beschriftung: Flächen- u. Bauwerksfkt., Namen v. Strassen, Bahnen;Text;aus ALKIS
16.1.2014;6800.0000;2.2.7.18;Betriebsfläche, landwirtschaftliche;Punkt;für Vermessung
16.1.2014;6800.0000;2.2.7.18;Betriebsfläche, landwirtschaftliche;Text;für Vermessung
16.1.2014;6800.0000;2.2.7.18;Betriebsfläche, landwirtschaftliche;Flaeche;für Vermessung
1.1.2012;31001-2450;;Betriebsgebäude zur Seilbahn;Flaeche;aus ALKIS
1.1.2012;31001-3037;;Bibliothek, Bücherei;Flaeche;aus ALKIS
1.1.2012;02310-3315;;Bibliothek, Bücherei (Nutzungssymbol);Punkt;aus ALKIS
1.1.2012;9341.0000;2.7.2.3;Bildstock;Punkt;für Vermessung
1.1.2012;51002-1215;;Biogasanlage;Flaeche;aus ALKIS
16.1.2014;9242.7001;;Blendschutzeinrichtung;Linie;für Vermessung
1.1.2012;5476.0000;2.3.5.4;Blinklicht;Punkt;für Vermessung
1.1.2012;9010.0000;2.7.4.15;Bohrpunkt, Bohrung;Punkt;für Vermessung
16.1.2014;0463.0000;2.2.1.8;Böschung, befestigt;Linie;für Vermessung
16.1.2014;0463.7001;;Böschungsbefestigung (Beschriftung), Art der  ~;Text;für Vermessung
1.1.2012;0492.0000;2.2.1.5;Böschungshöhe;Text;für Vermessung
16.1.2014;0481.7001;;Böschungsober- oder Unterkante, deutlich;Linie;für Vermessung
16.1.2014;0482.7001;;Böschungsober- oder Unterkante, undeutlich;Linie;für Vermessung
1.1.2012;0481.0000;2.2.1.1;Böschungsoberkante, deutlich;Linie;für Vermessung
1.1.2012;0482.0000;2.2.1.3;Böschungsoberkante, undeutlich;Linie;für Vermessung
16.1.2014;0487.0000;2.2.1.7;Böschungsrichtung, angedeutet;Linie;für Vermessung
1.1.2012;0486.0000;2.2.1.6;Böschungsschraffen;Linie;für Vermessung
16.1.2014;0484.0000;2.2.1.2;Böschungsunterkante, deutlich;Linie;für Vermessung
16.1.2014;0485.0000;2.2.1.4;Böschungsunterkante, undeutlich;Linie;für Vermessung
1.1.2012;02310-3417;;Botanischer Garten (Nutzungssymbol);Punkt;aus ALKIS
1.1.2012;31001-3016;;Botschaft, Konsulat;Flaeche;aus ALKIS
16.1.2014;6900.0000;2.2.7.19;Brachland, Unland;Text;für Vermessung
16.1.2014;6900.0000;2.2.7.19;Brachland, Unland;Flaeche;für Vermessung
1.1.2012;5745.0000;2.5.8.1;Briefkasten;Punkt;für Vermessung
1.1.2012;53001-0000;;Brücke, Widerlager;Flaeche;aus ALKIS
1.1.2012;53001-0000;;Brücke, Widerlager;Linie;aus ALKIS
1.1.2012;5736.0000;2.3.11.4;Brückenpfeiler;Punkt;für Vermessung
1.1.2012;2371.0000;2.7.4.6;Brückenwaage;Punkt;für Vermessung
1.1.2012;51009-1781;;Brunnen (Trinkwasserversorgung);Flaeche;aus ALKIS
1.1.2012;3411.0000;2.5.5.1;Brunnen, Brunnenstube;Punkt;für Vermessung
1.1.2012;8033.0000;2.3.9.3;Buhne;Linie;für Vermessung
16.1.2014;5111.0000;3.2.2;Bundesautobahn;Text;für Vermessung
16.1.2014;5122.0000;3.2.3;Bundesstraße;Text;für Vermessung
1.1.2012;31001-3038;;Burg, Festung;Flaeche;aus ALKIS
1.1.2012;31001-3097;;Bus-Bahnhof-Gebäude;Flaeche;aus ALKIS
1.1.2012;02310-3332;;Bus-Bahnhof-Gebäude (Nutzungssymbol);Punkt;aus ALKIS
1.1.2012;5439.0000;2.3.3.6;Bushaltestelle;Punkt;für Vermessung
16.1.2014;4301.0000;2.2.7.32;Campingplatz;Flaeche;für Vermessung
16.1.2014;4301.0000;2.2.7.32;Campingplatz (Nutzungssymbol);Punkt;für Vermessung
1.1.2012;02310-3412;;Campingplatz (Nutzungssymbol);Punkt;aus ALKIS
16.1.2014;3447.7001;;Co-, Kondensatormuffe (AUSA-Kabel);Punkt;für Vermessung
16.1.2014;#23B.7006;;Dehnfuge;Linie;für Vermessung
1.1.2012;9332.0000;2.7.2.1;Denkmal, Denkstein, Standbild;Punkt;für Vermessung
16.1.2014;3455.0000;2.5.4.5;Doppelmast;Punkt;für Vermessung
1.1.2012;3455.7001;;Doppelmast (Elektrizitätsversorgung);Punkt;für Vermessung
1.1.2012;3455.7002;;Doppelmast (Telekommunikation);Punkt;für Vermessung
1.1.2012;3921.0000;2.7.3.2;Drehkran;Punkt;für Vermessung
1.1.2012;8073.0000;2.3.12.1;Düker;Linie;für Vermessung
16.1.2014;10420000;2.4.4.3;Durchfahrt an überbauter Verkehrsstraße;Linie;für Vermessung
1.1.2012;31002-2610;;Durchfahrt an überbauter Verkehrsstraße, im Gebäude;Flaeche;aus ALKIS
1.1.2012;1041.0000;2.4.4.2;Durchfahrt im Gebäude;Linie;für Vermessung
16.1.2014;#33.7001;;Durchmesser-Zeichen (für Durchlässe o.ä.);Text;für Vermessung
16.1.2014;#25.7001;;Durchmesser-Zeichen (für Leitungen);Text;für Vermessung
16.1.2014;0719.0006;;Eckpunktbeschriftung;Text;für Vermessung
1.1.2012;8095.0000;2.1.7.4;Eichpfahl;Punkt;für Vermessung
16.1.2014;7855.7001;;Ein-, Auslaß von Entwässerung, Durchlaß;Punkt;für Vermessung
1.1.2012;7855.7002;;Einlaufschacht, Muldeneinlauf;Punkt;für Vermessung
1.1.2012;3504.7011;;Einsteige-, Kanalschacht (eckig);Punkt;für Vermessung
1.1.2012;3504.7001;;Einsteige-, Kanalschacht (rund);Punkt;für Vermessung
16.1.2014;3484.7001;;Einsteigeschacht für Elektrizitätsversorgung (rechteckig);Punkt;für Vermessung
16.1.2014;3484.0000;2.5.8.4;Einsteigeschacht für Fernmeldewesen;Punkt;für Vermessung
16.1.2014;3474.0000;2.5.9.3;Einsteigeschacht für Heizungsanlage (Fernheizung);Punkt;für Vermessung
16.1.2014;3484.7002;;Einsteigeschacht für Telekommunikation (rechteckig);Punkt;für Vermessung
1.1.2012;3504.7002;;Einsteigeschacht, sonst. Versorgung (rund);Punkt;für Vermessung
1.1.2012;8084.0000;2.7.4.10;Eisbrecher;Punkt;für Vermessung
1.1.2012;31001-3090;;Empfangsgebäude;Flaeche;aus ALKIS
1.1.2012;3432.0000;2.5.2.5;Erdgas-, Heizgasleitung, oberirdisch;Linie;für Vermessung
1.1.2012;3433.0000;2.5.1.5;Erdgas-, Heizgasleitung, unterirdisch;Linie;für Vermessung
1.1.2012;3195.0000;2.5.9.4;Erdgasförderstelle;Punkt;für Vermessung
1.1.2012;3191.0000;2.5.9.2;Erdölpumpe, Ölförderanlage;Punkt;für Vermessung
16.1.2014;5110.0000;3.2.1;Europastraße;Text;für Vermessung
1.1.2012;5751.0000;2.7.4.14;Fahnenmast;Punkt;für Vermessung
1.1.2012;5113.0000;2.3.1.3;Fahrbahnbegrenzung, Rand-, Leitstreifen  < 0,5 m;Linie;für Vermessung
1.1.2012;5114.0000;2.3.1.4;Fahrbahnbegrenzung, Rand-, Leitstreifen  >= 0,5 m;Linie;für Vermessung
1.1.2012;5115.0000;2.3.1.5;Fahrbahnbegrenzung, Rand-, Leitstreifen mit unterbrochener Markierung;Linie;für Vermessung
1.1.2012;5116.0000;2.3.1.6;Fahrbahnmarkierung;Linie;für Vermessung
16.1.2014;0441.0000;2.2.4;Fels;Linie;für Vermessung
16.1.2014;0441.0000;2.2.4;Fels;Text;für Vermessung
1.1.2012;3475.0000;2.5.2.9;Fernheizleitung, oberirdisch;Linie;für Vermessung
1.1.2012;3476.0000;2.5.1.9;Fernheizleitung, unterirdisch;Linie;für Vermessung
1.1.2012;3486.0000;2.5.8.3;Fernsprechhäuschen;Punkt;für Vermessung
16.1.2014;3422.0000;2.5.2.2;Fernwasserleitung, oberirdisch;Linie;für Vermessung
1.1.2012;3424.0000;2.5.1.2;Fernwasserleitung, unterirdisch;Linie;für Vermessung
1.1.2012;3487.7001;;Feuchtigkeitssensor;Punkt;für Vermessung
1.1.2012;3487.0000;2.5.9.1;Feuermelder;Punkt;für Vermessung
1.1.2012;31001-3072;;Feuerwehr;Flaeche;aus ALKIS
1.1.2012;02310-3326;;Feuerwehr (Nutzungssymbol);Punkt;aus ALKIS
1.1.2012;31001-3019;;Finanzamt;Flaeche;aus ALKIS
1.1.2012;1072.0000;2.4.2.4;Firstlinie;Linie;für Vermessung
1.1.2012;8083.0000;2.3.10.6;Fischtreppe, Kaskade;Linie;für Vermessung
16.1.2014;8025.0000;2.3.8.3;Fließrichtungspfeil von Bach, Fließgewässer, Graben;Punkt;für Vermessung
1.1.2012;02310-3488;;Fließrichtungspfeil von Bach, Fließgewässer, Graben;Punkt;aus ALKIS
16.1.2014;#23B.7002;;Flügelwand von Widerlager;Linie;für Vermessung
16.1.2014;#23B.7003;;Flügelwand von Widerlager, verdeckt;Linie;für Vermessung
16.1.2014;5511.0000;2.2.7.33;Flughafen;Text;für Vermessung
16.1.2014;5511.0000;2.2.7.33;Flughafen;Flaeche;für Vermessung
1.1.2012;31001-3092;;Flughafengebäude;Flaeche;aus ALKIS
16.1.2014;0232.0000;3.1.6;Flurnummer;Text;für Vermessung
16.1.2014;0233.0000;;Flurstück;Flaeche;für Vermessung
1.1.2012;11001-0000;;Flurstück;Flaeche;aus ALKIS
16.1.2014;0233.0000;3.1.7;Flurstücksnummer;Text;für Vermessung
1.1.2012;11001-0000;;Flurstücksnummer;Text;aus ALKIS
1.1.2012;9103-7071;;Flurstücksnummer;Text;aus ALKIS
16.1.2014;0234.0000;3.1.8;Flurstücksnummer in besonderer Darstellung;Text;für Vermessung
16.1.2014;8114.0000;3.3.3;Fluß;Text;für Vermessung
1.1.2012;02310-3402;;Förderanlage (Symbol);Punkt;aus ALKIS
1.1.2012;02320-2521;;Förderband, Bandstraße, Tor;Linie;aus ALKIS
1.1.2012;31001-3024;;Forschungsinstitut;Flaeche;aus ALKIS
1.1.2012;51005-1110;;Freileitung;Linie;aus ALKIS
1.1.2012;51005-1110;;Freileitung;Text;aus ALKIS
1.1.2012;1044.0000;2.4.5.3;Freitreppe;Linie;für Vermessung
1.1.2012;31001-3062;;Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus;Flaeche;aus ALKIS
1.1.2012;9411.0000;2.2.7.20;Friedhof;Punkt;für Vermessung
1.1.2012;9411.0000;2.2.7.20;Friedhof;Flaeche;für Vermessung
1.1.2012;31001-3080;;Friedhofsgebäude;Flaeche;aus ALKIS
1.1.2012;5172.0000;2.5.4.9;Fundament, Gittermastfundament;Punkt;für Vermessung
1.1.2012;02310-3506;;Funkmast, Antenne;Punkt;aus ALKIS
1.1.2012;3485.0000;2.5.4.7;Funkmast, Funkstelle, Umsetzer;Punkt;für Vermessung
16.1.2014;5227.0000;2.3.11.2;Furt;Punkt;für Vermessung
16.1.2014;5227.0000;2.3.11.2;Furt;Linie;für Vermessung
16.1.2014;5227.0000;2.3.11.2;Furt;Text;für Vermessung
16.1.2014;5733.0000;2.3.11.1;Fußgängersteg;Linie;für Vermessung
1.1.2012;02310-3424;;Fußweg, Gang (Nutzungssymbol);Punkt;aus ALKIS
16.1.2014;0473.0000;2.2.10;Futter-, Stützmauer;Linie;für Vermessung
16.1.2014;L321.0000;2.6.4.4;Futter-, Stützmauer (in Aufnahmerichtung links);Linie;für Vermessung
16.1.2014;R321.0000;2.6.4.4;Futter-, Stützmauer (in Aufnahmerichtung rechts);Linie;für Vermessung
16.1.2014;0321.0000;2.6.4.4;Futter-, Stützmauer als Grenzmauer;Linie;für Vermessung
16.1.2014;Z321.0000;2.6.4.4;Futter-, Stützmauer gemeinschaftlich;Linie;für Vermessung
16.1.2014;Z473.0000;2.2.10;Futter-, Stützmauer, beidseitig;Linie;für Vermessung
16.1.2014;2366.0000;2.4.4;Garage;Text;für Vermessung
1.1.2012;31001-2463;;Garage;Flaeche;aus ALKIS
16.1.2014;4281.0000;2.2.7.41;Garten, Gartenland;Flaeche;für Vermessung
16.1.2014;4281.7000;;Garten, Gartenland (Nutzungsarten-Einzelsymbol);Punkt;für Vermessung
1.1.2012;02310-3421;;Garten, Gartenland (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
16.1.2014;4281.0000;2.2.7.41;Garten, Gartenland (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
1.1.2012;R2310-3421;;Garten, Gartenland (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
16.1.2014;2572.0000;2.5.7.1;Gasometer;Punkt;für Vermessung
16.1.2014;2572.0000;2.5.7.1;Gasometer;Text;für Vermessung
16.1.2014;3435.7001;;Gasschieber;Punkt;für Vermessung
16.1.2014;1112.0000;2.4.4;Gebäude;Text;für Vermessung
1.1.2012;31001-2611;;Gebäude der Kläranlage;Flaeche;aus ALKIS
1.1.2012;31001-3020;;Gebäude für Bildung und Forschung;Flaeche;aus ALKIS
1.1.2012;31001-3050;;Gebäude für Gesundheitswesen;Flaeche;aus ALKIS
1.1.2012;31001-3030;;Gebäude für kulturelle Zwecke;Flaeche;aus ALKIS
1.1.2012;31001-3000;;Gebäude für öffentliche Zwecke;Flaeche;aus ALKIS
1.1.2012;31001-3040;;Gebäude für religiöse Zwecke;Flaeche;aus ALKIS
1.1.2012;31001-3070;;Gebäude für Sicherheit und Ordnung;Flaeche;aus ALKIS
1.1.2012;31001-3060;;Gebäude für soziale Zwecke;Flaeche;aus ALKIS
1.1.2012;31001-2000;;Gebäude für Wirtschaft oder Gewerbe;Flaeche;aus ALKIS
1.1.2012;02320-2032;;Gebäude nach Quellenlage nicht zu spezifizieren, unter der Erdoberfläche;Linie;aus ALKIS
16.1.2014;1000.0000;2.2.7.17;Gebäude- und Freifläche;Text;für Vermessung
16.1.2014;1000.0000;2.2.7.17;Gebäude- und Freifläche;Flaeche;für Vermessung
16.1.2014;#244.7001;;Gebäude-(eck-)punkt;Punkt;für Vermessung
16.1.2014;31001-0000;;Gebäude-(eck-)punkt;Punkt;aus ALKIS
1.1.2012;9074-7035;;Gebäudename, -funktion;Text;aus ALKIS
16.1.2014;1062.0000;2.4.3.3;Gebäuderaster;Flaeche;für Vermessung
1.1.2012;1061.0000;2.4.3.1;Gebäudeschraffur, 50 gon (Wohngebäude);Flaeche;für Vermessung
1.1.2012;1063.0000;2.4.3.2;Gebäudeschraffur, parallel (Wirtschafts-/Industriegebäude);Flaeche;für Vermessung
1.1.2012;31002-1400;;Gebäudeteil mit abweichender Geschosshöhe;Flaeche;aus ALKIS
1.1.2012;1019.0000;2.4.4.8;Gebäudeverbindungsgang;Linie;für Vermessung
1.1.2012;1019.0000;2.4.4.8;Gebäudeverbindungsgang;Text;für Vermessung
16.1.2014;5151.0000;2.3.1.23;Geh- / Radweg;Linie;für Vermessung
16.1.2014;5151.0000;2.3.1.23;Geh- / Radweg;Punkt;für Vermessung
16.1.2014;5151.0000;2.3.1.23;Geh- / Radweg;Text;für Vermessung
1.1.2012;02310-3470;;Gehölz, Gebüsch (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
1.1.2012;R2310-3470;;Gehölz, Gebüsch (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
16.1.2014;7400.0000;2.2.7.23;Gehölzfläche;Punkt;für Vermessung
16.1.2014;7400.0000;2.2.7.23;Gehölzfläche;Flaeche;für Vermessung
16.1.2014;5141.0000;2.3.1.22;Gehweg an Straßen;Linie;für Vermessung
16.1.2014;5141.0000;2.3.1.22;Gehweg an Straßen;Punkt;für Vermessung
16.1.2014;5141.0000;2.3.1.22;Gehweg an Straßen;Text;für Vermessung
1.1.2012;0431.0000;2.2.2.1;Gelände-, Rasterhöhenpunkt (mit Höhe);Punkt;für Vermessung
1.1.2012;0431.0000;2.2.2.1;Gelände-, Rasterhöhenpunkt (mit Höhe);Text;für Vermessung
16.1.2014;0431.7000;2.2.2.1;Geländelinie, -bruchkante (mit Höhe) ;Linie;für Vermessung
16.1.2014;02310-3629;;Geländepunkt, besonderer topographischer Punkt (ohne Höhe);Punkt;aus ALKIS
16.1.2014;5003.7001;;Geländer;Linie;für Vermessung
16.1.2014;0618.0000;3.1.4;Gemarkungsname;Text;für Vermessung
1.1.2012;9202-7076;;Gemeinde-, Gemarkungsname, Wohnplatzname;Text;aus ALKIS
16.1.2014;5129.0000;3.2.7;Gemeindestraße;Text;für Vermessung
1.1.2012;31001-3015;;Gericht;Flaeche;aus ALKIS
16.1.2014;0646.0000;3.1.5;Gewannbezeichnung, Lagebezeichnung;Text;für Vermessung
1.1.2012;71003-1320;;Gewässer I. Ordnung - nach Landesrecht;Flaeche;aus ALKIS
1.1.2012;71003-1310;;Gewässer I. Ordnung (Bundeswasserstraße);Flaeche;aus ALKIS
1.1.2012;71003-1330;;Gewässer II. Ordnung;Flaeche;aus ALKIS
1.1.2012;71003-1340;;Gewässer III. Ordnung;Flaeche;aus ALKIS
1.1.2012;02320-2520;;Gewässer, stehend, nicht ständig Wasser führend;Linie;aus ALKIS
1.1.2012;02310-3490;;Gewässer, stehend, wie See, Teich usw., (Sportboot-)hafenbecken (Einzelsymbol);Punkt;aus ALKIS
1.1.2012;R2310-3490;;Gewässer, stehend, wie See, Teich usw., (Sportboot-)hafenbecken (Gruppensymbol);Punkt;aus ALKIS
1.1.2012;0719.0000;1.4.1;Gitterkreuz;Punkt;für Vermessung
16.1.2014;0719.0005;;Gitternetzbeschriftung;Text;für Vermessung
1.1.2012;0719.0000;1.4.1;Gitternetzlinien;Linie;für Vermessung
16.1.2014;9293.0000;;Gleitwand, Beton-;Linie;für Vermessung
1.1.2012;8501.0000;2.3.8.8;Graben unter 1mm Kartenbreite, nass;Linie;für Vermessung
1.1.2012;8501.0000;2.3.8.8;Graben unter 1mm Kartenbreite, nass;Text;für Vermessung
16.1.2014;8501.0001;3.3.13;Graben, nass;Text;für Vermessung
16.1.2014;8503.0000;3.3.15;Graben, trocken;Text;für Vermessung
16.1.2014;0211.0000;2.6.1.1;Grenze der Bundesrepublik Deutschland (Staatsgrenze);Linie;für Vermessung
1.1.2012;11002-7101;;Grenze der Bundesrepublik Deutschland (Staatsgrenze);Linie;aus ALKIS
16.1.2014;0232.0000;2.6.1.7;Grenze der Flur (Flurgrenze);Linie;für Vermessung
1.1.2012;11002-3000;;Grenze der Flur (Flurgrenze);Linie;aus ALKIS
16.1.2014;0231.0000;2.6.1.6;Grenze der Gemarkung (Gemarkungsgrenze);Linie;für Vermessung
1.1.2012;11002-7003;;Grenze der Gemarkung (Gemarkungsgrenze);Linie;aus ALKIS
16.1.2014;0215.0000;2.6.1.5;Grenze der Gemeinde (Gemeindegrenze);Linie;für Vermessung
1.1.2012;11002-7106;;Grenze der Gemeinde (Gemeindegrenze);Linie;aus ALKIS
1.1.2012;11002-7108;;Grenze der Verwaltungsgemeinschaft;Linie;aus ALKIS
16.1.2014;0212.0000;2.6.1.2;Grenze des Bundeslandes (Landesgrenze);Linie;für Vermessung
1.1.2012;11002-7102;;Grenze des Bundeslandes (Landesgrenze);Linie;aus ALKIS
16.1.2014;0233.0000;2.6.1.8;Grenze des Flurstücks (Flurstücksgrenze);Linie;für Vermessung
1.1.2012;11001-0000;;Grenze des Flurstücks (Flurstücksgrenze);Linie;aus ALKIS
1.1.2012;11002-1000;;Grenze des Flurstücks (Flurstücksgrenze);Linie;aus ALKIS
16.1.2014;0248.0000;2.6.1.10;Grenze des Flurstücks (Flurstücksgrenze) als Mittellinie in Gewässern;Linie;für Vermessung
16.1.2014;0213.0000;2.6.1.3;Grenze des Regierungsbezirkes (Regierungsbezirksgrenze);Linie;für Vermessung
1.1.2012;11002-7103;;Grenze des Regierungsbezirkes (Regierungsbezirksgrenze);Linie;aus ALKIS
16.1.2014;0214.0000;2.6.1.4;Grenze des Stadt-/Landkreises (Kreisgrenze);Linie;für Vermessung
1.1.2012;11002-7104;;Grenze des Stadt-/Landkreises (Kreisgrenze);Linie;aus ALKIS
16.1.2014;0319.0000;2.6.4.10;Grenzgraben, trocken;Linie;für Vermessung
