Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F004;;DGM - Böschungsunterkante;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F005;;DGM - Fahrbahnbegrenzung;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F006;;DGM - Straßengraben;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F007;;DGM - Uferlinie;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F008;;DGM - Uferlinie, veränderlich;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F009;;DGM - Bach unter 1m;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F010;;DGM - Wasserlaufseite > 1m;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F011;;DGM - Pfad;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F012;;DGM - Gehweg/Radweg an Straßen;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;#061.F013;;DGM - Gehweg/Radweg;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;#061.F014;;DGM - Radweg an Straßen;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F015;;DGM - Wegseite, unbefestigt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F016;;DGM - Hochbord;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F017;;DGM - Tiefbord;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F018;;DGM - Formlinien;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F019;;DGM - Formlinien, geschlossen;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F020;;DGM - Randlinie;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F021;;DGM - Hofraum;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F022;;DGM - Pflasterkante;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F023;;Orthophoto-Bruchkante;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#063.F001;;Hinweislinie zum Editieren von Daten;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#063.F001;;Hinweistext zum Editieren von Daten;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#080.F001;;DGM - Urgelände, Umring;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#080.F001;;DGM - Urgelände, Umring, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#080.F002;;DGM - Urgelände, Inring;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#080.F002;;DGM - Urgelände, Inring, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#140.F001;;Öffentliches Gebäude;Text;;;;;;;;;;;;;;;;;;;;;
05.08.02;#231.F001;;Tangentenpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
05.08.02;#231.F002;;Achspunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;#231.F003;;Kreuzungspunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#231.F004;;Pfeil, Querneigung;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#231.F005;;Regelquerschnitt Linie;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#231.F005;;Regelquerschnitt, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#231.F006;;Quergefälle ( Darstellung );Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;#231.F007;;Pflasterkante im Verkehrsraum;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#231.F008;;Achshauptpunkt / Absteckung;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#231.F008;;Achshauptpunkt / Absteckung, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#232.F001;;Bauwerksbez., Rahmen;Linie;;;;;;;;;;;;;;;;;;;;;
30.03.04;#232.F001;;Bauwerksbezeichnung, Symbol;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#232.F001;;Bauwerksbezeichnung, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.08.02;#233.F002;;Befestigungswechsel, punktiert;Linie;;;;;;;;;;;;;;;;;;;;;
30.03.04;#233.F003;;Befestigungsart Beton;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#233.F004;;Befestigungsart Bitumen;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#233.F005;;Befestigungsart Pflaster;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#233.F006;;Befestigungsart Schotter;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#233.F007;;Befestigungsart unbefestigt;Text;;;;;;;;;;;;;;;;;;;;;
10.06.09;#253.F001;;Merkstein allgemein;Text;;;;;;;;;;;;;;;;;;;;;
30.03.04;#23B.F001;;Brückenerfassung;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#23B.F002;;Dehnungsfuge;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#23B.F002;;Dehnungsfuge, Text;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#23B.F003;;Durchlaß, Lichte Weite;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#23B.F004;;Durchlaß, Lichte Höhe;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#23B.F005;;Durchlaß, Durchmesser;Text;;;;;;;;;;;;;;;;;;;;;
19.04.04;#23B.F006;;Brückenerf., Schraffur;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;#23D.0001;;Gradientenpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;#23D.0002;;Ausrundungsanfang;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;#23D.0003;;Ausrundungsende;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;#23D.0004;;linke Gradiente;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;#23D.0005;;rechte Gradiente;Linie;;;;;;;;;;;;;;;;;;;;;
05.08.02;#245.F001;;Geländer;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#245.F002;;Steigpfeil;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#245.F003;;Kellerlichtschacht;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#245.F004;;Fundament, maßstäblich;Linie;;;;;;;;;;;;;;;;;;;;;
01.07.09;#245.F005;;Balkon, Erker;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#245.F006;;Fallrohr;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#245.F007;;Hauspunkt, Wohnhaus;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#245.F008;;Hauskreuz, Wirtschaftsgebäude;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;#246.F001;;allgemeiner Text öffentliche Gebäude;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;#252.F001;;Rückhaltebecken;Linie;;;;;;;;;;;;;;;;;;;;;
27.08.02;#253.F001;;Merkstein, allgemein;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#255.F001;;Regenwasserablauf;Linie;;;;;;;;;;;;;;;;;;;;;
05.08.02;#256.F001;;Windanzeiger;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#264.F001;;Graben Kataster, Pfeil;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;#264.F001;;Graben Kataster, Text;Text;;;;;;;;;;;;;;;;;;;;;
28.01.04;#274.F001;;Papierkorb;Punkt;;;;;;;;;;;;;;;;;;;;;
03.02.04;#274.F002;;Werbetafel;Punkt;;;;;;;;;;;;;;;;;;;;;
03.02.04;#274.F002;;Werbetafel;Text;;;;;;;;;;;;;;;;;;;;;
26.08.02;#275.F001;;Gebietsbegrenzung mit besonderer Rechtsvorschrift;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;#275.F002;;Grenze des Nummerierungsbezirks für Punkte;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;#275.F002;;Eigentümer Kataster, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
26.08.02;#275.F003;;Blattschnitt der Rahmenkarte;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;#317.F001;;Flurstücksnummer Bruchstrich;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;#317.F002;;Flurstücksnummer Bruchstrich, neu;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;#317.F003;;Zuordnungsstrich Kataster;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;#317.F004;;Zuordnungsstrich Kataster, neu;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0039.0000;1.4.2;Nordpfeil;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0111.0000;2.6.3.1;Grenzmarken an Staats-, Landesgrenze;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;0111.0000;2.6.3.1;Grenzmarken an Staats-, Landesgrenze;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0112.0000;2.6.3.2;Grenzsäule an Staats-, Landesgrenze;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0114.F001;2.7.4.5;Jagenstein, Abteilungsstein;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0114.F002;2.7.4.5;Jagenstein, Abteilungsstein neu;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.0000;2.6.3.3;Abgemarkter Grenzpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F001;;Abgemarkter Grenzpunkt, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F002;;Abgemarkter Grenzpunkt, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;0118.F002;;Abgemarkter Grenzpunkt, Beschriftung neu;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F003;;Abgemarkter Grenzpunkt Vermarkung Grenzstein;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F004;;Abgemarkter Grenzpunkt Vermarkung Grenzstein, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F005;;Abgemarkter Grenzpunkt in Mitte Oberkante;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F006;;Abgemarkter Grenzpunkt in Mitte Oberkante, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F007;;Abgemarkter Grenzpunkt Ecke eines Steines;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F008;;Abgemarkter Grenzpunkt Ecke eines Steines, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F009;;Abgemarkter Grenzpunkt unterirdisch;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0118.F010;;Abgemarkter Grenzpunkt unterirdisch, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F011;;Grenzkreuz;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F012;;Grenzkreuz, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F013;;abgemarkter Grenzpunkt der Markscheide;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F014;;abgemarkter Grenzpunkt der Markscheide, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F015;;Grenzhügel;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F016;;Grenzhügel, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F017;;Grenzbaum (Nadelbaum);Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F018;;Grenzbaum (Nadelbaum), neu;Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F019;;Grenzbaum (Laubbaum);Punkt;;;;;;;;;;;;;;;;;;;;;
07.08.02;0118.F020;;Grenzbaum (Laubbaum), neu;Punkt;;;;;;;;;;;;;;;;;;;;;
08.08.02;0119.F001;2.6.3.4;Grenzpunkt, unvermarkt;Punkt;;;;;;;;;;;;;;;;;;;;;
08.08.02;0119.F002;2.6.3.4;Nicht abgemarkter Grenzpunkt, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
06.06.03;0122.0000;2.1.2;Aufnahmepunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;0122.0000;2.1.2;Aufnahmepunkt;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0123.0000;2.1.4;Kleinpunkt  (vermarkt), Punkt in Messungslinie;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;0123.0000;2.1.4;Kleinpunkt  (vermarkt), Punkt in Messungslinie;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;0123.F001;2.1.4;Achskleinpunkt / Absteckung;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;0123.F001;2.1.4;Achskleinpunkt / Absteckung, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;0123.F002;;Baufeldgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0123.F002;;Baufeldgrenzpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;0123.F002;;Baufeldgrenzpunkt, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;0123.F003;;Planfeststellungsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0123.F003;;Planfeststellungsgrenzpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;0123.F003;;Planfeststellungsgrenzpunkt, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Punkt;;;;;;;;;;;;;;;;;;;;;
06.06.03;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Text;;;;;;;;;;;;;;;;;;;;;
10.06.09;0141.0000;;Pfeilerbolzen;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;0141.0000;2.1.6.1;Pfeilerbolzen;Text;;;;;;;;;;;;;;;;;;;;;
10.06.09;0142.0000;;Mauerbolzen;Punkt;;;;;;;;;;;;;;;;;;;;;
18.06.02;0142.0000;2.1.6.2;Mauerbolzen;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0147.0000;2.1.6.4;HP = PP;Text;;;;;;;;;;;;;;;;;;;;;
10.12.03;0147.F001;;HP/Landesvermessung;Punkt;;;;;;;;;;;;;;;;;;;;;
10.12.03;0147.F001;;HP/Landesvermessung;Text;;;;;;;;;;;;;;;;;;;;;
08.12.03;0147.F002;;Höhenfestpunkt der Straßenbauverwaltung;Punkt;;;;;;;;;;;;;;;;;;;;;
08.12.03;0147.F002;;Höhenfestpunkt der Straßenbauverwaltung;Text;;;;;;;;;;;;;;;;;;;;;
09.08.02;0147.F003;;Höhenkontrollpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
08.12.03;0147.F003;;Höhenkontrollpunkt;Text;;;;;;;;;;;;;;;;;;;;;
10.12.03;0162.F001;;TP/Landesvermessung/Bodenpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
10.12.03;0162.F001;;TP/Landesvermessung/Bodenpunkt;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;0211.0000;2.6.1.1;Staatsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0212.0000;2.6.1.2;Landesgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0213.0000;2.6.1.3;Regierungsbezirksgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0214.0000;2.6.1.4;Kreisgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0215.0000;2.6.1.5;Gemeindegrenze;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0231.0000;2.6.1.6;Gemarkungsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0232.0000;2.6.1.7;Flurgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
03.03.03;0232.0000;3.1.6;Flurnummer;Text;;;;;;;;;;;;;;;;;;;;;
24.07.03;0233.0000;2.6.1.8;Flurstücksgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
03.03.03;0233.0000;3.1.7;Flurstücksnummer;Text;;;;;;;;;;;;;;;;;;;;;
26.08.02;0233.F001;2.6.1.8;Flurstücksgrenze, neu;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;0233.F001;3.1.7;Flurstücksnummer, neu;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;0234.0000;3.1.8;Flurstücksnummer in besonderer Darstellung;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;0235.0000;2.6.1.9;Strittige Grenze;Linie;;;;;;;;;;;;;;;;;;;;;
30.10.03;0241.0000;2.2.7.34;Nutzungsartengrenze;Flaeche;;;;;;;;;;;;;;;;;;;;;
03.02.04;0241.0000;2.2.7.34;Nutzungsartengrenze;Linie;;;;;;;;;;;;;;;;;;;;;
30.10.03;0241.0000;2.2.7.34;Nutzungsartengrenze, Text;Text;;;;;;;;;;;;;;;;;;;;;
30.10.03;0241.F002;;Hofraum;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0248.0000;2.6.1.10;Flurstücksgrenze in Gewässern;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;0248.F001;;Flurstücksgrenze in Gewässern, neu;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0251.0000;2.2.6;Topographische (Begrenzungs-) Linie;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0252.0000;2.2.6.1;Topographische (Begrenzungs-) Linie, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
18.06.03;0253.0000;2.3.3.10;Topographische Zuordnungslinie;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;0271.0000;;Zollgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0272.0000;2.7.5.1;Gesetzliche Überschwemmungsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0272.0000;2.7.5.1;Gesetzliche Überschwemmungsgrenze;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0273.0000;2.7.5.2;Hochwassergrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0273.0000;2.7.5.2;Hochwassergrenze;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0274.0000;2.7.5.14;Mittleres Tidehochwasser;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0274.0000;2.7.5.14;Mittleres Tidehochwasser, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;0275.0000;2.7.5.3;Markscheide;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0275.0000;2.7.5.3;Markscheide, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
21.07.03;0276.0000;2.7.5.4;Naturschutzgebietsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0276.0000;2.7.5.4;Naturschutzgebietsgrenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
21.07.03;0277.0000;2.7.5.5;Landschaftsschutz- Gebietsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0277.0000;2.7.5.5;Landschaftsschutz- Gebietsgrenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
28.10.03;0278.0000;2.7.5.6;Wasserschutzgebietsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0278.0000;2.7.5.6;Wasserschutzgebietsgrenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0279.0000;2.7.5.7;Lärmschutzbereichsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0279.0000;2.7.5.7;Lärmschutzbereichsgrenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0281.0000;2.7.5.8;Heilquellenschutz- Gebietsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0281.0000;2.7.5.8;Heilquellenschutz- Gebietsgrenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0282.0000;2.7.5.9;Pegelschutzgebietsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0282.0000;2.7.5.9;Pegelschutzgebietsgrenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0283.0000;2.7.5.10;Denkmalzone (Grenze);Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0283.0000;2.7.5.10;Denkmalzone (Grenze), Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0284.0000;2.7.5.11;Grabungsschutzgebietsgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0284.0000;2.7.5.11;Grabungsschutzgebietsgrenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0285.0000;2.7.5.12;Altlasten (Grenze);Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0285.0000;2.7.5.12;Altlasten (Grenze), Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0286.0000;2.7.5.15;Flurbereinigungsverfahren (Grenze);Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0286.0000;2.7.5.15;Flurbereinigungsverfahren (Grenze), Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0287.0000;2.7.5.16;Umlegungsverfahren (Grenze);Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0287.0000;2.7.5.16;Umlegungsverfahren (Grenze), Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0288.0000;2.7.5.17;Sanierungsverfahren (Grenze);Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0288.0000;2.7.5.17;Sanierungsverfahren (Grenze), Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;0289.0000;2.7.5.18;Andere öffentlichrechtliche Grenze;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0289.0000;2.7.5.18;Andere öffentlichrechtliche Grenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;0289.F001;;Baulastgrenze;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;0289.F001;;Baulastgrenze, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;0289.F002;;Baulastgrenze nach §7 Abs.2 GBO;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0291.0000;2.6.2.1;Zugehörigkeitshaken;Punkt;;;;;;;;;;;;;;;;;;;;;
26.08.02;0291.F001;;Zugehörigkeitshaken, neu;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;0292.0000;2.6.2.2;Zuordnungspfeil;Punkt;;;;;;;;;;;;;;;;;;;;;
;0292.F001;;Zuordnungslinie, Kataster;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0311.0000;2.6.4.1;Grenzhecke;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0312.0000;2.6.4.2;Grenzzaun;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;0312.F001;;Grenzzaun;Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;0313.0000;2.6.4.3;Grenzmauer;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;0313.F001;;Grenzmauer, einseitig;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;0313.F002;;Grenzmauer, doppelt;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0315.0000;2.6.4.6;Grenzwall ohne Bewachsung;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0316.0000;2.6.4.7;Grenzwall mit Bewachsung;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;0317.0000;2.6.4.8;Grenzrain;Linie;;;;;;;;;;;;;;;;;;;;;
26.08.02;0317.F001;;Grenzrain, einseitig;Linie;;;;;;;;;;;;;;;;;;;;;
