Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Ebene;Bemerkung
06.12.12;1000.0000;2.2.7.17;Gebäude- und Freifläche;Text;1;1115
06.12.12;1011.0000;2.4.1.1;Hochhausbegrenzungslinie;Linie;0;1110
06.12.12;1012.0000;2.4.1.2;Begrenzungslinie eines öffentlichen Gebäudes;Linie;0;1110
06.12.12;1013.0000;2.4.1.3;Begrenzungslinie eines nicht öffentlichen Gebäudes;Linie;0;1110
06.12.12;1014.0000;2.4.1.4;Offene Begrenzungslinie eines Gebäudes;Linie;0;1110
06.12.12;1016.0000;2.4.1.5;Begrenzungslinie eines unterirdischen Gebäudes;Linie;0;1110
06.12.12;1017.0000;2.4.1.6;Begrenzungslinie eines zerstörten Gebäudes;Linie;0;1110
06.12.12;1017.0000;2.4.1.6;Begrenzungslinie eines zerstörten Gebäudes;Text;1;1115
07.12.12;1019.0000;2.4.4.8;Gebäudeverbindungsgang;Linie;0;1110
07.12.12;1019.0000;2.4.4.8;Gebäudeverbindungsgang;Text;1;1115
07.12.12;1031.0000;2.4.2.1;Hausnummer;Text;1;1115;
07.12.12;1033.0000;2.4.2.2;Anzahl der Vollgeschosse;Text;1;1115;
07.12.12;1041.0000;2.4.4.2;Durchfahrt im Gebäude;Linie;H70;1110;
07.12.12;1041.0000;2.4.4.2;Durchfahrt im Gebäude;Text;1;1115;
07.12.12;1042.0000;2.4.4.3;Durchfahrt an überbauten Verkehrsstraßen;Linie;H71;1110;
07.12.12;1042.0000;2.4.4.3;Durchfahrt an überbauten Verkehrsstraßen;Text;1;1115;
07.12.12;1043.0000;2.4.4.5;Arkaden;Linie;H73;1110;
07.12.12;1043.0000;2.4.4.5;Arkaden;Text;1;1115;
07.12.12;1044.0000;2.4.5.3;Freitreppe;Linie;H76;1110;
07.12.12;1045.0000;2.4.4.1;Markierung für  Überdachung, offene Halle, Durchfahrt;Linie;H69;1110;
07.12.12;1045.0000;2.4.4.1;Markierung für  Überdachung, offene Halle, Durchfahrt;Text;1;1115;
07.12.12;1046.0000;2.4.4.6;Aufgeständertes Haus;Linie;H74;1110;
07.12.12;1046.0000;2.4.4.6;Aufgeständertes Haus;Text;1;1115;
07.12.12;1047.0000;2.4.4.4;Auskragende Geschosse;Linie;H72;1110;
07.12.12;1047.0000;2.4.4.4;Auskragende Geschosse;Text;1;1115;
07.12.12;1048.0000;2.4.5.4;Treppenunterkante (Freitreppe);Linie;H77;1110;
07.12.12;1049.0000;2.4.4.9;Rampe;Linie;H75;1110;
07.12.12;1049.0000;2.4.4.9;Rampe;Text;1;1115;
07.12.12;1055.0000;2.3.11.5;Höhe Unterkante;Punkt;a07;1100;
07.12.12;1055.0000;2.3.11.5;Höhe Unterkante;Text;1;1115;
07.12.12;1056.0000;2.4.2.5;Höhenangaben an Gebäuden;Punkt;a07;1110;
07.12.12;1056.0000;2.4.2.5;Höhenangaben an Gebäuden;Text;1;1115;
07.12.12;1061.0000;2.4.3.1;Schraffur für Gebäude (50 gon);Flaeche;0;1011;
07.12.12;1062.0000;2.4.3.3;Raster für Gebäude;Flaeche;0;1011;
07.12.12;1063.0000;2.4.3.2;Parallelschraffur für Gebäude;Flaeche;0;1011;
07.12.12;1071.0000;2.4.2.3;Kennzeichnung der Dachformen;Text;1;1115;
07.12.12;1072.0000;2.4.2.4;Firstlinie;Linie;H68;1110;
07.12.12;1112.0000;2.4.4;Gebäude;Text;1;1115;
07.12.12;1194.0000;2.4.6.4;U - Bahnhof;Punkt;A04;1110;
07.12.12;1194.0000;2.4.6.4;U - Bahnhof;Text;1;1115;
07.12.12;1195.0000;2.4.6.5;S - Bahnhof;Punkt;A05;1110;
07.12.12;1195.0000;2.4.6.5;S - Bahnhof;Text;1;1115;
07.12.12;1208.0000;2.4.5.1;Zufahrt, Einfahrt;Punkt;A08;1110
07.12.12;1208.5001;;Ein- und Ausfahrt;Punkt;a76;1110
07.12.12;1209.0000;2.4.5.2;Zugang, Eingang;Punkt;A09;1120
07.12.12;1472.0000;2.5.9.6;Rastanlage;Punkt;F59;1120
07.12.12;1475.0000;2.5.9.9;Kiosk und WC;Punkt;F65;1120
07.12.12;1721.0000;2.4.4;Werkstatt;Text;1;1115
07.12.12;1731.0000;2.5.9.5;Tankstelle;Punkt;F58;1120
07.12.12;1732.0000;2.5.9.7;Tank- und Rastanlage;Punkt;F63;1120
07.12.12;1771.0000;2.7.3.5;Bergwerk in Betrieb;Punkt;G13;1120
07.12.12;1772.0000;2.7.3.7;Bergwerk, außer Betrieb;Punkt;G15;1120
07.12.12;1773.0000;2.7.3.6;Bergwerk, vorübergehend stillgelegt;Punkt;G14;1120
07.12.12;2361.0000;2.4.6.6;Parkhaus;Punkt;A06;1110
07.12.12;2362.0000;2.4.6.7;Parkdeck;Punkt;A10;1110
07.12.12;2363.0000;2.4.6.8;Tiefgarage;Punkt;A07;1110
07.12.12;2366.0000;2.4.4;Garage;Text;1;1115
07.12.12;2369.0000;2.5.9.8;Parken und WC;Punkt;F64;1120
07.12.12;2371.0000;2.7.4.6;Brückenwaage;Punkt;G36;1120
07.12.12;2371.0000;2.7.4.6;Brückenwaage;Text;1;1120
07.12.12;2372.0000;2.7.4.8;Parkscheinautomat;Punkt;G37;1110
07.12.12;2513.0000;2.5.5.8;Pumpe;Punkt;F34;1120
07.12.12;2514.0000;2.5.5.14;Wasserturm;Punkt;F62;1110
07.12.12;2514.0000;2.5.5.14;Wasserturm;Text;1;1115
07.12.12;2572.0000;2.5.7.1;Gasometer;Punkt;F45;1160
07.12.12;2572.0000;2.5.7.1;Gasometer;Text;1;1115
07.12.12;2612.0000;2.4.4;Wasserklosett;Text;1;1115
07.12.12;2721.0000;2.4.4;Scheune;Text;1;1115
07.12.12;2723.0000;2.4.4;Schuppen;Text;1;1115
07.12.12;2724.0000;2.4.4;Stall;Text;1;1115
07.12.12;3141.0000;2.2.7.28;Steinbruch;Punkt;B20;1120
07.12.12;3141.0000;2.2.7.28;Steinbruch;Text;1;1115
07.12.12;3141.0000;2.2.7.28;Steinbruch;Flaeche;0;1120
07.12.12;3151.0000;2.2.7.29;Erztagebau;Text;1;1115
07.12.12;3151.0000;2.2.7.29;Erztagebau;Flaeche;0;1120;
07.12.12;3161.0000;2.2.7.30;Kohletagebau;Punkt;B22;1120;
07.12.12;3161.0000;2.2.7.30;Kohletagebau;Text;1;1115;
07.12.12;3161.0000;2.2.7.30;Kohletagebau;Flaeche;0;1120;
07.12.12;3171.0000;2.2.7.16;Torfstich;Punkt;B13;1120;
07.12.12;3171.0000;2.2.7.16;Torfstich;Text;1;1115;
07.12.12;3171.0000;2.2.7.16;Torfstich;Flaeche;0;1120;
07.12.12;3181.0000;2.2.7.31;Lavaabbau;Text;1;1115;
07.12.12;3181.0000;2.2.7.31;Lavaabbau;Flaeche;0;1120;
07.12.12;3191.0000;2.5.9.2;Erdölpumpe, Ölförderanlage;Punkt;F54;1416;
07.12.12;3195.0000;2.5.9.4;Erdgasförderstelle;Punkt;F56;1415;
07.12.12;3196.0000;2.7.3.8;Bergbauschacht (eckig);Punkt;G16;1120;
07.12.12;3198.0000;2.7.3.9;Stollenmundloch;Punkt;G18;1120;
07.12.12;3401.0000;2.5.2.13;Transportrichtungspfeil;Punkt;F60;1115;
07.12.12;3402.0000;2.5.1;Unterirdische Leitungen;Linie;I01;1400;
07.12.12;3402.0000;;Unterirdische Leitungen;Text;1;1400;
07.12.12;3403.0000;2.5.2;Oberirdische  Leitungen;Linie;I15;1400;
07.12.12;3403.0000;2.5.2;Oberirdische  Leitungen;Text;1;1400;
07.12.12;3411.0000;2.5.5.1;Brunnen, Brunnenstube;Punkt;F28;1160;
07.12.12;3421.0000;2.5.2.1;Oberirdische Wasserleitung;Linie;I16;1411;
07.12.12;3422.0000;2.5.2.2;Oberirdische Fernwasserleitung;Linie;I17;1412;
07.12.12;3423.0000;2.5.1.1;Unterirdische Wasserleitung;Linie;I02;1411;
07.12.12;3424.0000;2.5.1.2;Unterirdische Fernwasserleitung;Linie;I03;1412;
07.12.12;3426.0000;2.5.3.3;Merkstein für Wasserversorgung;Punkt;F06;1160;
07.12.12;3426.0000;2.5.3.3;Merkstein für Wasserversorgung;Text;1;1160;
07.12.12;3427.0000;2.5.5.3;Oberflurhydrant;Punkt;a41;1160;
07.12.12;3428.0000;2.5.5.4;Unterflurhydrant;Punkt;a42;1160;
07.12.12;3429.0000;2.5.3.1;Schieberkappe -schacht (Wasser);Punkt;F04;1160;
07.12.12;3429.0000;2.5.3.1;Schieberkappe -schacht (Wasser);Text;1;1160;
07.12.12;3429.5001;;Wasserschieber;Punkt;a43;1160;
07.12.12;3432.0000;2.5.2.5;Oberirdische Erdgas-, Heizgasleitung;Linie;I20;1415;
07.12.12;3433.0000;2.5.1.5;Unterirdische Erdgas-, Heizgasleitung;Linie;I06;1415;
07.12.12;3434.0000;2.5.3.6;Merkzeichen für Gasleitung;Punkt;F09;1160;
07.12.12;3434.0000;2.5.3.6;Merkzeichen für Gasleitung;Text;1;1160;
07.12.12;3435.0000;2.5.3.2;Schieberkappe -schacht (Gas);Punkt;a44;1160;
07.12.12;3435.0000;2.5.3.2;Schieberkappe -schacht (Gas);Text;1;1160;
07.12.12;3441.0000;2.5.2.3;Oberirdische Leitung der Elektrizitätsversorgung, Stahlgittermast;Linie;I18;1413;
07.12.12;3442.0000;2.5.1.3;Unterirdische Leitung der Elektrizitätsversorgung;Linie;I04;1413;
07.12.12;3443.0000;2.5.3.4;Merkstein für Elektrizitätsversorgung;Punkt;F07;1160;
07.12.12;3443.0000;2.5.3.4;Merkstein für Elektrizitätsversorgung;Text;1;1160;
07.12.12;3444.0000;2.5.2.4;Oberirdische Hochspannungsleitung;Linie;I19;1414;
07.12.12;3445.0000;2.5.1.13;Ummantelung;Linie;I14;1423;
07.12.12;3446.0000;2.5.1.4;Unterirdische Hochspannungsleitung;Linie;I05;1414;
07.12.12;3447.0000;2.5.6.5;Transformator, Umformer;Punkt;a37;1160;
07.12.12;3448.0000;2.5.3.5;Merkstein für Hochspannungsleitung;Punkt;F08;1160;
07.12.12;3448.0000;2.5.3.5;Merkstein für Hochspannungsleitung;Text;1;1160;
07.12.12;3449.0000;2.5.8.6;Kabelformsteine, Kabelkanal;Punkt;a40;1160;
07.12.12;3451.0000;2.5.4.2;Stahlrohrmast;Punkt;a27;1400;
07.12.12;3452.0000;2.5.4.3;Stahlbetonmast;Punkt;a28;1400;
10.12.12;3453.0000;2.5.4.1;Einfacher Stahlgittermast;Punkt;a29;1400;
10.12.12;3454.0000;2.5.4.6;Stahlgittermast, wenn die Leitung zwischen den Masten nicht dargestellt wird;Punkt;F21;1160;
10.12.12;3455.0000;2.5.4.5;Doppelmast;Punkt;F20;1160;
10.12.12;3456.0000;2.5.4.4;Holzmast;Punkt;a26;1400;
10.12.12;3464.0000;2.5.2.6;Oberirdische Rohölleitung;Linie;I21;1416;
10.12.12;3465.0000;2.5.1.6;Unterirdische Rohölleitung;Linie;I07;1416;
10.12.12;3466.0000;2.5.3.7;Merkzeichen für Rohölleitung;Punkt;F10;1160;
10.12.12;3466.0000;2.5.3.7;Merkzeichen für Rohölleitung;Text;1;1160;
10.12.12;3471.0000;2.5.2.8;Oberirdische Leitung der Heizungsanlage;Linie;I23;1418;
10.12.12;3472.0000;2.5.1.8;Unterirdische Leitung der Heizungsanlage;Linie;I09;1418;
10.12.12;3473.0000;2.5.3.9;Merkstein für Heizungsanlage;Punkt;F12;1160;
10.12.12;3473.0000;2.5.3.9;Merkstein für Heizungsanlage;Text;1;1160;
10.12.12;3474.0000;2.5.9.3;Einsteigeschacht für Heizungsanlage (Fernheizung);Punkt;F55;1419;
10.12.12;3474.0000;2.5.9.3;Einsteigeschacht für Heizungsanlage (Fernheizung);Text;1;1419;
10.12.12;3475.0000;2.5.2.9;Oberirdische Fernheizleitung;Linie;I24;1419;
10.12.12;3476.0000;2.5.1.9;Unterirdische Fernheizleitung;Linie;I10;1419;
10.12.12;3477.0000;2.5.3.10;Merkstein für Fernheizleitung;Punkt;F13;1160;
10.12.12;3477.0000;2.5.3.10;Merkstein für Fernheizleitung;Text;1;1160;
10.12.12;3481.0000;2.5.2.10;Oberirdische Leitung des Fernmeldewesens;Linie;I25;1420;
10.12.12;3482.0000;2.5.1.10;Unterirdische Leitung des Fernmeldewesens;Linie;I11;1420;
10.12.12;3483.0000;2.5.3.11;Merkstein für Fernmeldewesen;Punkt;F14;1160;
10.12.12;3483.0000;2.5.3.11;Merkstein für Fernmeldewesen;Text;1;1160;
10.12.12;3483.5001;;Merkstein Kabel;Punkt;a39;1160;
10.12.12;3484.0000;2.5.8.4;Einsteigeschacht für Fernmeldewesen;Punkt;F49;1160;
10.12.12;3484.0000;2.5.8.4;Einsteigeschacht für Fernmeldewesen;Text;1;1115;
10.12.12;3485.0000;2.5.4.7;Funkmast, Funkstelle, Umsetzer;Punkt;F22;1400;
10.12.12;3486.0000;2.5.8.3;Fernsprechhäuschen;Punkt;F48;1110;
10.12.12;3486.5001;;Telefonzelle;Punkt;a63;1110;
10.12.12;3487.0000;2.5.9.1;Feuermelder;Punkt;F53;1160;
10.12.12;3487.0000;2.5.9.1;Feuermelder;Text;1;1115;
10.12.12;3488.0000;2.5.8.2;Polizeirufsäule;Punkt;F47;1110;
10.12.12;3488.0000;2.5.8.2;Polizeirufsäule;Text;1;1115;
10.12.12;3489.0000;2.5.6.1;Kabelkasten, Schaltkasten;Punkt;F40;1160;
10.12.12;3489.5001;;Verteilerkasten Strom (oberirdisch);Punkt;a35;1160;
10.12.12;3489.5002;;Verteilerkasten Post (oberirdisch);Punkt;a38;1160;
10.12.12;3489.5003;;Verteilerkasten Strom (unterirdisch);Punkt;a36;1160;
10.12.12;3492.0000;2.5.2.7;Oberirdische Produktenfernleitung;Linie;I22;1417;
10.12.12;3493.0000;2.5.1.7;Unterirdische Produktenfernleitung;Linie;I08;1417;
10.12.12;3494.0000;2.5.3.8;Merkzeichen für Produktenfernleitung;Punkt;F11;1160;
10.12.12;3494.0000;2.5.3.8;Merkzeichen für Produktenfernleitung;Text;1;1160;
10.12.12;3495.0000;2.5.6.2;Windrad, Windmotor;Punkt;a71;1110;
10.12.12;3495.5001;;Windanzeiger;Punkt;a70;1110;
10.12.12;3498.0000;2.5.3.12;Schilderpfahl (allg.);Punkt;a45;1160;
10.12.12;3498.0000;2.5.3.12;Schilderpfahl (allg.);Text;1;1160;
10.12.12;3498.5001;;Schildermast;Punkt;a13;1160;
10.12.12;3498.5002;;Schilderpfahl (Gas);Punkt;a45;1160;
10.12.12;3498.5003;;Schilderpfahl (Wasser);Punkt;a45;1160;
10.12.12;3501.0000;2.5.2.11;Oberirdische Abwasserleitung;Linie;I26;1421;
10.12.12;3502.0000;2.5.1.11;Unterirdische Abwasser-, Schmutzwasserleitung;Linie;I12;1421;
10.12.12;3504.0000;2.5.5.5;Einsteigeschacht für Abwasserleitung;Punkt;F32;1165;
10.12.12;3505.0000;2.5.5.6;Straßensinkkasten (Einlauf mittig);Punkt;a55;1165;
10.12.12;3505.5002;;Gully (Rund);Punkt;a48;1165;
10.12.12;3507.0000;2.5.5.9;Schienensinkkasten;Punkt;a60;1165;
10.12.12;3508.0000;2.5.5.7;Straßensinkkasten (Einlauf seitlich);Punkt;a56;1165;
10.12.12;3509.0000;2.5.1.12;Unterirdische Sickerrohrleitung;Linie;I13;1422;
10.12.12;3512.0000;2.7.4.4;Müllboxenanlage;Punkt;G35;1120;
10.12.12;3521.0000;2.5.5.10;Schlammbecken, -fang;Punkt;a57;1165;
10.12.12;3531.0000;2.5.5.11;Sickergrube, Klärgrube;Punkt;F37;1165;
10.12.12;3531.5001;;Sickergrube;Punkt;a54;1165;
10.12.12;3532.0000;2.5.2.12;Schlitzrinne;Linie;I27;1165;
10.12.12;3591.0000;2.5.5.12;Benzin-, Ölabscheider;Punkt;a58;1165;
10.12.12;3911.0000;2.7.3.4;Schornstein;Punkt;G12;1110;
10.12.12;3921.0000;2.7.3.2;Drehkran;Punkt;G32;1110;
10.12.12;3922.0000;2.7.3.1;Portalkran;Punkt;G11;1110;
10.12.12;3923.0000;2.7.3.3;Laufkran;Punkt;G33;1110;
10.12.12;4211.0000;2.2.7.21;Parkanlage (Symbol);Punkt;B15;1120;
